player1,player2,results_set,runs,num_Ns,num_ULs,num_UWs,Z_stat,p_val_1,p_val_2,p_val_1_adj,p_val_2_adj
Bammer S.,Bartoli M.,"[('18/06/2008', 'N'), ('31/08/2008', 'UW')]",2,1,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Dellacqua C.,"[('15/04/2008', 'N'), ('28/05/2008', 'UL')]",2,1,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Govortsova O.,"[('27/06/2007', 'N'), ('08/04/2008', 'UL'), ('25/05/2011', 'N'), ('28/05/2013', 'N')]",3,3,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Goerges J.,"[('21/06/2010', 'N'), ('27/05/2011', 'UW'), ('16/05/2012', 'UL'), ('25/09/2012', 'N'), ('03/10/2012', 'N')]",4,3,1,1,-0.4999999999999997,0.308537538725987,0.617075077451974,0.5,1.0
Bartoli M.,Makarova E.,"[('14/02/2010', 'N'), ('27/03/2011', 'N'), ('18/01/2013', 'UL'), ('09/05/2013', 'N')]",3,3,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,King V.,"[('18/09/2007', 'UL'), ('07/03/2009', 'N'), ('03/01/2011', 'N'), ('21/09/2011', 'UL'), ('13/10/2011', 'N'), ('19/07/2012', 'N')]",4,4,2,0,-0.1767766952966367,0.4298418975993331,0.8596837951986662,0.5,1.0
Bartoli M.,Cirstea S.,"[('28/09/2009', 'N'), ('05/05/2012', 'UL'), ('19/06/2012', 'N')]",3,2,1,0,0.3535533905932734,0.3618368049158816,0.7236736098317633,0.5,1.0
Bartoli M.,Davenport L.,"[('19/03/2008', 'N'), ('29/08/2008', 'UW')]",2,1,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Rybarikova M.,"[('06/03/2009', 'N'), ('04/10/2009', 'N'), ('25/03/2010', 'N'), ('25/04/2011', 'UL')]",2,3,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Wozniacki C.,"[('19/02/2008', 'UL'), ('28/03/2008', 'N'), ('21/08/2008', 'N'), ('30/04/2009', 'UW'), ('12/08/2010', 'UW'), ('25/02/2011', 'N'), ('20/03/2011', 'N'), ('21/02/2013', 'N')]",4,5,1,2,-0.7897862851668316,0.2148262949705959,0.4296525899411918,0.5,1.0
Bartoli M.,Paszek T.,"[('25/10/2007', 'N'), ('22/06/2012', 'UL')]",2,1,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Wickmayer Y.,"[('30/03/2010', 'UW'), ('27/09/2010', 'N'), ('18/03/2011', 'UW'), ('13/07/2012', 'UL')]",4,1,1,2,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Kleybanova A.,"[('19/06/2008', 'N'), ('06/10/2009', 'N'), ('21/02/2011', 'UW')]",2,2,1,0,0.3535533905932734,0.3618368049158816,0.7236736098317633,0.5,1.0
Bartoli M.,Cibulkova D.,"[('07/02/2008', 'N'), ('03/08/2008', 'N'), ('30/09/2008', 'UW'), ('22/07/2012', 'N')]",3,3,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Zakopalova K.,"[('18/05/2010', 'UL'), ('13/01/2011', 'UL'), ('24/08/2011', 'N'), ('11/02/2012', 'N'), ('03/01/2013', 'UL'), ('18/02/2013', 'N')]",4,3,3,0,-0.4564354645876384,0.324038434069573,0.6480768681391461,0.5,1.0
Bartoli M.,Kerber A.,"[('17/03/2008', 'N'), ('16/10/2011', 'N'), ('12/02/2012', 'UL')]",2,2,1,0,0.3535533905932734,0.3618368049158816,0.7236736098317633,0.5,1.0
Bartoli M.,Lisicki S.,"[('23/06/2008', 'N'), ('18/04/2009', 'UL'), ('07/04/2011', 'UL'), ('28/06/2011', 'N'), ('06/07/2013', 'UW')]",4,2,2,1,0.4008918628686363,0.3442498705483172,0.6884997410966345,0.5,1.0
Bartoli M.,Pironkova T.,"[('19/08/2008', 'N'), ('21/01/2009', 'N'), ('28/06/2010', 'UL'), ('18/04/2011', 'N'), ('16/02/2012', 'N')]",3,4,1,0,-0.2041241452319317,0.419128243192913,0.8382564863858261,0.5,1.0
Bartoli M.,Kvitova P.,"[('23/10/2008', 'UW'), ('18/06/2011', 'UW'), ('10/08/2012', 'N'), ('02/09/2012', 'UW')]",3,1,3,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Martinez-Sanchez M.J.,"[('05/05/2009', 'UL'), ('25/08/2009', 'N'), ('17/06/2010', 'UW'), ('15/06/2011', 'N')]",4,2,1,1,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Zheng J.,"[('07/03/2009', 'UW'), ('22/01/2010', 'UL'), ('21/01/2012', 'UL')]",2,2,1,0,0.3535533905932734,0.3618368049158816,0.7236736098317633,0.5,1.0
Bartoli M.,Hercog P.,"[('13/03/2010', 'N'), ('08/05/2010', 'N'), ('09/01/2012', 'N'), ('23/03/2012', 'N'), ('05/04/2012', 'UL')]",2,4,1,0,-0.2041241452319317,0.419128243192913,0.8382564863858261,0.5,1.0
Bartoli M.,Martic P.,"[('09/02/2012', 'N'), ('30/05/2012', 'UL')]",2,1,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Marino R.,"[('16/09/2010', 'UL'), ('27/07/2011', 'N')]",2,1,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Petkovic A.,"[('13/03/2011', 'UW'), ('05/10/2011', 'N')]",2,1,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Mchale C.,"[('31/08/2011', 'UL'), ('04/10/2011', 'N'), ('21/07/2012', 'N'), ('30/01/2013', 'N'), ('26/06/2013', 'N')]",2,4,1,0,-0.2041241452319317,0.419128243192913,0.8382564863858261,0.5,1.0
Bartoli M.,Halep S.,"[('01/05/2011', 'UW'), ('25/03/2012', 'N')]",2,1,1,0,0.0,0.5,1.0,0.5,1.0
Bartoli M.,Giorgi C.,"[('21/05/2013', 'UL'), ('28/06/2013', 'N')]",2,1,1,0,0.0,0.5,1.0,0.5,1.0
