player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Darcis S.,Zverev M.,['p1'],['N'],[],['2019-07-01'],['2019-07-01'],nan,1.0,0.5566516401179229,0.443348359882077,1,0
Darcis S.,Granollers M.,['p1'],['N'],[],['2008-08-19'],['2008-08-19'],nan,1.0,0.7526658346360271,0.24733416536397296,1,0
Darcis S.,Troicki V.,['p1'],['U'],['UW'],['2012-02-28'],['2012-02-28'],nan,1.0,0.33551208113696945,0.6644879188630305,1,0
Darcis S.,Sela D.,['p1'],['N'],[],['2017-05-01'],['2017-05-01'],nan,1.0,0.6101717712119199,0.3898282287880801,1,0
Darcis S.,Recouderc L.,['p2'],['U'],['UL'],['2010-02-01'],['2010-02-01'],nan,1.0,0.6271215196881089,0.3728784803118911,0,1
Darcis S.,Giraldo S.,['p2'],['N'],[],['2012-04-30'],['2012-04-30'],nan,1.0,0.3201108851590181,0.679889114840982,0,1
Darcis S.,Young D.,['p1'],['N'],[],['2012-03-10'],['2012-03-10'],nan,1.0,0.6309093332078014,0.36909066679219854,1,0
Darcis S.,Isner J.,['p2'],['N'],[],['2016-08-31'],['2016-08-31'],nan,1.0,0.2251593394482878,0.7748406605517122,0,1
Darcis S.,Klizan M.,['p2'],['N'],[],['2014-08-27'],['2014-08-27'],nan,1.0,0.30083058570507387,0.6991694142949261,0,1
Cuevas P.,Darcis S.,['p1'],['N'],[],['2015-07-24'],['2015-07-24'],nan,1.0,0.561932049292025,0.438067950707975,1,0
Darcis S.,Petzschner P.,['p1'],['U'],['UW'],['2011-05-25'],['2011-05-25'],nan,1.0,0.19968405686060778,0.8003159431393922,1,0
Darcis S.,Levine J.,['p2'],['U'],['UL'],['2008-02-19'],['2008-02-19'],nan,1.0,0.7570030520868861,0.242996947913114,0,1
Darcis S.,Golubev A.,['p1'],['N'],[],['2012-04-23'],['2012-04-23'],nan,1.0,0.6344719455934439,0.36552805440655617,1,0
Darcis S.,Sirianni J.,['p1'],['N'],[],['2008-01-08'],['2008-01-08'],nan,1.0,0.5994741838330904,0.4005258161669096,1,0
Darcis S.,Kavcic B.,['p1'],['N'],[],['2012-01-03'],['2012-01-03'],nan,1.0,0.5738092827678754,0.4261907172321246,1,0
Brands D.,Darcis S.,['p1'],['U'],['UW'],['2011-10-28'],['2011-10-28'],nan,1.0,0.2948461029997207,0.7051538970002794,1,0
Darcis S.,Mannarino A.,"['p1', 'p1']","['U', 'U']","['UW', 'UW']","['2013-02-05', '2015-10-20']","['2013-02-05', '2015-10-20']",nan,1.0,1.2207346114288142,0.7792653885711858,2,0
Darcis S.,Groth S.,['p1'],['N'],[],['2017-01-16'],['2017-01-16'],nan,1.0,0.535696463736415,0.464303536263585,1,0
Berankis R.,Darcis S.,['p2'],['N'],[],['2017-07-04'],['2017-07-04'],nan,1.0,0.3615579579202462,0.6384420420797537,0,1
Darcis S.,Ito T.,['p1'],['N'],[],['2015-02-04'],['2015-02-04'],nan,1.0,0.6139199604776737,0.38608003952232617,1,0
Darcis S.,Janowicz J.,['p1'],['U'],['UW'],['2015-07-23'],['2015-07-23'],nan,1.0,0.42667964423456295,0.5733203557654372,1,0
Darcis S.,Tomic B.,['p1'],['N'],[],['2017-02-21'],['2017-02-21'],nan,1.0,0.3377442272873826,0.6622557727126174,1,0
Darcis S.,Ilhan M.,['p1'],['N'],[],['2016-05-24'],['2016-05-24'],nan,1.0,0.7648738784372101,0.23512612156278995,1,0
Darcis S.,Donskoy E.,['p2'],['U'],['UL'],['2013-02-25'],['2013-02-25'],nan,1.0,0.8101033470218757,0.18989665297812416,0,1
Darcis S.,Ebden M.,['p1'],['U'],['UW'],['2012-06-19'],['2012-06-19'],nan,1.0,0.43555958263834826,0.5644404173616516,1,0
Darcis S.,Dolgopolov O.,"['p2', 'p2']","['N', 'N']",[],"['2012-03-12', '2017-06-13']","['2012-03-12', '2017-06-13']",nan,1.0,0.7526551787630436,1.2473448212369564,0,2
Darcis S.,Matosevic M.,['p1'],['N'],[],['2012-06-22'],['2012-06-22'],nan,1.0,0.44757389992979557,0.5524261000702043,1,0
Darcis S.,Rufin G.,['p2'],['U'],['UL'],['2012-06-25'],['2012-06-25'],nan,1.0,0.7253790659055634,0.27462093409443655,0,1
Brown D.,Darcis S.,['p1'],['N'],[],['2016-02-02'],['2016-02-02'],nan,1.0,0.512542193670867,0.48745780632913316,1,0
Darcis S.,Ramos-Vinolas A.,['p2'],['N'],[],['2017-01-04'],['2017-01-04'],nan,1.0,0.29903753569561636,0.7009624643043836,0,1
Darcis S.,Paire B.,"['p2', 'p1']","['N', 'U']",['UW'],"['2013-02-06', '2016-10-19']","['2013-02-06', '2016-10-19']",0.0,1.0,0.8455549056431297,1.15444509435687,1,1
Darcis S.,Raonic M.,['p2'],['N'],[],['2017-05-29'],['2017-05-29'],nan,1.0,0.1079391887273119,0.8920608112726881,0,1
Darcis S.,Lajovic D.,"['p1', 'p2']","['N', 'N']",[],"['2017-10-04', '2019-08-26']","['2017-10-04', '2019-08-26']",0.0,1.0,0.8670841984457436,1.1329158015542564,1,1
Darcis S.,Sousa J.,['p2'],['N'],[],['2019-07-23'],['2019-07-23'],nan,1.0,0.42771516245542557,0.5722848375445745,0,1
Darcis S.,De Schepper K.,['p2'],['U'],['UL'],['2013-04-10'],['2013-04-10'],nan,1.0,0.7198405060835742,0.2801594939164258,0,1
Darcis S.,Jaziri M.,"['p1', 'p1']","['N', 'N']",[],"['2012-08-28', '2015-03-26']","['2012-08-28', '2015-03-26']",nan,1.0,1.2812968484638771,0.7187031515361229,2,0
Copil M.,Darcis S.,['p1'],['U'],['UW'],['2016-10-20'],['2016-10-20'],nan,1.0,0.4925977576304692,0.5074022423695309,1,0
Darcis S.,Goffin D.,"['p2', 'p2']","['N', 'N']",[],"['2017-02-10', '2017-04-16']","['2017-02-10', '2017-04-16']",nan,1.0,0.37056889028056217,1.6294311097194378,0,2
Darcis S.,Johnson S.,['p1'],['N'],[],['2012-02-15'],['2012-02-15'],nan,1.0,0.5640872436532532,0.4359127563467467,1,0
Darcis S.,Pella G.,"['p2', 'p2']","['N', 'N']",[],"['2016-01-19', '2017-08-30']","['2016-01-19', '2017-08-30']",inf,0.3333333333333333,1.203941282513958,0.7960587174860421,0,2
Darcis S.,Klahn B.,['p2'],['U'],['UL'],['2019-06-24'],['2019-06-24'],nan,1.0,0.7890979831584605,0.21090201684153945,0,1
Darcis S.,Schwartzman D.,['p1'],['U'],['UW'],['2017-01-18'],['2017-01-18'],nan,1.0,0.35764026955116074,0.6423597304488393,1,0
Darcis S.,Vesely J.,['p1'],['U'],['UW'],['2017-05-03'],['2017-05-03'],nan,1.0,0.40916795998846134,0.5908320400115387,1,0
Darcis S.,Thompson J.,['p1'],['N'],[],['2016-08-29'],['2016-08-29'],nan,1.0,0.7062708458345314,0.2937291541654687,1,0
Darcis S.,Dzumhur D.,['p2'],['U'],['UL'],['2017-02-15'],['2017-02-15'],nan,1.0,0.5158588722353669,0.4841411277646331,0,1
Coric B.,Darcis S.,['p1'],['N'],[],['2019-01-15'],['2019-01-15'],nan,1.0,0.7635657323087219,0.2364342676912781,1,0
Basilashvili N.,Darcis S.,['p2'],['N'],[],['2017-02-23'],['2017-02-23'],nan,1.0,0.6279447168548287,0.3720552831451712,0,1
Albot R.,Darcis S.,['p2'],['N'],[],['2017-02-14'],['2017-02-14'],nan,1.0,0.23972140020034868,0.7602785997996513,0,1
Darcis S.,Zverev A.,['p2'],['N'],[],['2017-09-28'],['2017-09-28'],nan,1.0,0.09210766255972769,0.9078923374402723,0,1
Darcis S.,Rublev A.,['p2'],['N'],[],['2017-08-21'],['2017-08-21'],nan,1.0,0.4871830723728071,0.5128169276271928,0,1
Darcis S.,Marterer M.,['p1'],['N'],[],['2017-02-07'],['2017-02-07'],nan,1.0,0.7525744405400961,0.24742555945990374,1,0
Darcis S.,Novak D.,['p2'],['N'],[],['2019-07-16'],['2019-07-16'],nan,1.0,0.6432498259740886,0.35675017402591136,0,1
Darcis S.,Zhang Ze,['p1'],['N'],[],['2017-09-25'],['2017-09-25'],nan,1.0,0.7348219127936781,0.26517808720632186,1,0
Carreno Busta P.,Darcis S.,['p2'],['U'],['UL'],['2017-10-02'],['2017-10-02'],nan,1.0,0.8073586244547443,0.19264137554525568,0,1
Darcis S.,Hoang A.,['p2'],['N'],[],['2019-02-05'],['2019-02-05'],nan,1.0,0.6579941605000105,0.3420058394999895,0,1
Beck A.,Isner J.,['p1'],['U'],['UW'],['2008-08-25'],['2008-08-25'],nan,1.0,0.34933091032617014,0.6506690896738297,1,0
Isner J.,Ram R.,['p2'],['U'],['UL'],['2015-07-14'],['2015-07-14'],nan,1.0,0.9113079815084072,0.08869201849159278,0,1
Isner J.,Kubot L.,"['p1', 'p1']","['N', 'N']",[],"['2010-08-17', '2010-10-12']","['2010-08-17', '2010-10-12']",nan,1.0,1.7248187407492659,0.2751812592507343,2,0
Isner J.,Soeda G.,"['p1', 'p1']","['N', 'N']",[],"['2013-03-01', '2015-06-29']","['2013-03-01', '2015-06-29']",nan,1.0,1.7246434154980166,0.2753565845019835,2,0
Isner J.,Stakhovsky S.,"['p1', 'p2']","['N', 'U']",['UL'],"['2009-03-26', '2011-05-03']","['2009-03-26', '2011-05-03']",inf,1.0,1.1391788050379765,0.8608211949620236,1,1
Isner J.,Lorenzi P.,['p1'],['N'],[],['2017-06-01'],['2017-06-01'],nan,1.0,0.7217687133320323,0.27823128666796776,1,0
Isner J.,Istomin D.,"['p1', 'p2', 'p2']","['N', 'U', 'U']","['UL', 'UL']","['2009-07-23', '2013-02-20', '2013-05-12']","['2009-07-23', '2013-02-20', '2013-05-12']",2.0,1.0,1.9552070757343492,1.0447929242656506,1,2
Isner J.,Stoppini A.,['p1'],['N'],[],['2008-07-29'],['2008-07-29'],nan,1.0,0.43974807790577153,0.5602519220942285,1,0
Isner J.,Przysiezny M.,['p1'],['N'],[],['2013-10-30'],['2013-10-30'],nan,1.0,0.8483679883740155,0.15163201162598458,1,0
Isner J.,Zverev M.,"['p1', 'p1', 'p2', 'p2', 'p2', 'p1', 'p1']","['N', 'N', 'U', 'U', 'U', 'N', 'N']","['UL', 'UL', 'UL']","['2009-10-01', '2016-11-01', '2017-01-18', '2017-05-24', '2017-09-02', '2018-07-27', '2020-02-26']","['2009-10-01', '2016-11-01', '2017-01-18', '2017-05-24', '2017-09-02', '2018-07-27', '2020-02-26']",3.75,0.5594405594405594,5.115755397510785,1.8842446024892148,4,3
Granollers M.,Isner J.,"['p2', 'p2']","['N', 'N']",[],"['2008-08-12', '2016-01-21']","['2008-08-12', '2016-01-21']",nan,1.0,0.6545122808894678,1.345487719110532,0,2
Isner J.,Odesnik W.,"['p1', 'p2', 'p1', 'p1']","['N', 'N', 'N', 'N']",[],"['2007-08-02', '2009-04-10', '2009-07-24', '2014-07-08']","['2007-08-02', '2009-04-10', '2009-07-24', '2014-07-08']",0.6666666666666666,1.0,2.683528257615931,1.3164717423840688,3,1
Isner J.,Sweeting R.,"['p1', 'p1']","['N', 'N']",[],"['2012-03-01', '2012-04-14']","['2012-03-01', '2012-04-14']",nan,1.0,1.7087887774631287,0.29121122253687126,2,0
Isner J.,Troicki V.,"['p2', 'p1', 'p2', 'p2', 'p1', 'p2']","['U', 'U', 'U', 'U', 'N', 'U']","['UL', 'UW', 'UL', 'UL', 'UL']","['2009-10-02', '2011-08-06', '2011-08-11', '2015-06-19', '2017-08-14', '2017-10-12']","['2009-10-02', '2011-08-06', '2011-08-11', '2015-06-19', '2017-08-14', '2017-10-12']",3.0,0.567099567099567,3.537769600066218,2.462230399933782,2,4
Isner J.,Rosol L.,['p2'],['U'],['UL'],['2016-05-18'],['2016-05-18'],nan,1.0,0.7329655217897552,0.2670344782102448,0,1
Isner J.,Sela D.,"['p1', 'p1', 'p1', 'p1', 'p2']","['N', 'N', 'N', 'N', 'U']",['UL'],"['2011-08-23', '2014-02-20', '2014-07-27', '2016-07-25', '2017-07-06']","['2011-08-23', '2014-02-20', '2014-07-27', '2016-07-25', '2017-07-06']",inf,1.0,4.063482206794823,0.9365177932051777,4,1
De Bakker T.,Isner J.,"['p1', 'p2']","['N', 'N']",[],"['2010-06-25', '2010-08-04']","['2010-06-25', '2010-08-04']",0.0,1.0,0.703850760425679,1.296149239574321,1,1
Isner J.,Roger-Vasselin E.,['p2'],['U'],['UL'],['2013-03-03'],['2013-03-03'],nan,1.0,0.748555504820079,0.25144449517992096,0,1
Giraldo S.,Isner J.,"['p2', 'p2', 'p2']","['U', 'N', 'N']",['UL'],"['2010-05-12', '2013-10-07', '2014-09-30']","['2010-05-12', '2013-10-07', '2014-09-30']",nan,1.0,0.5707211729818387,2.4292788270181616,0,3
Isner J.,Lacko L.,"['p1', 'p1', 'p1']","['N', 'N', 'N']",[],"['2014-01-08', '2017-07-28', '2019-02-20']","['2014-01-08', '2017-07-28', '2019-02-20']",nan,1.0,2.5131107985581793,0.4868892014418206,3,0
Isner J.,Nishikori K.,"['p1', 'p2', 'p2']","['U', 'N', 'N']",['UW'],"['2015-04-02', '2015-08-09', '2016-03-17']","['2015-04-02', '2015-08-09', '2016-03-17']",0.0,1.0,0.6605564487320393,2.3394435512679603,1,2
Isner J.,Young D.,"['p1', 'p1', 'p1', 'p2']","['N', 'N', 'N', 'U']",['UL'],"['2008-08-13', '2012-02-24', '2014-03-22', '2017-02-18']","['2008-08-13', '2012-02-24', '2014-03-22', '2017-02-18']",inf,1.0,3.132305329174997,0.8676946708250031,3,1
Isner J.,Polansky P.,['p1'],['N'],[],['2019-02-19'],['2019-02-19'],nan,1.0,0.9097601051722826,0.0902398948277175,1,0
Anderson K.,Isner J.,"['p1', 'p2', 'p2', 'p2', 'p1', 'p1', 'p2', 'p2', 'p2', 'p2', 'p2', 'p1']","['U', 'U', 'N', 'N', 'U', 'U', 'N', 'U', 'N', 'N', 'N', 'U']","['UW', 'UL', 'UW', 'UW', 'UL', 'UW']","['2008-03-06', '2008-06-10', '2010-03-14', '2010-07-24', '2011-03-29', '2012-03-04', '2012-10-09', '2013-03-02', '2013-07-28', '2014-08-12', '2015-03-16', '2018-07-13']","['2008-03-06', '2008-06-10', '2010-03-14', '2010-07-24', '2011-03-29', '2012-03-04', '2012-10-09', '2013-03-02', '2013-07-28', '2014-08-12', '2015-03-16', '2018-07-13']",1.6666666666666667,0.6801722977520528,5.040561546840042,6.959438453159958,4,8
Isner J.,Petzschner P.,['p1'],['N'],[],['2010-02-20'],['2010-02-20'],nan,1.0,0.7671980031384045,0.2328019968615956,1,0
Isner J.,Levine J.,"['p2', 'p1', 'p1', 'p1']","['U', 'N', 'N', 'N']",['UL'],"['2008-07-08', '2009-08-11', '2012-02-28', '2013-02-27']","['2008-07-08', '2009-08-11', '2012-02-28', '2013-02-27']",inf,1.0,3.0273837547085587,0.9726162452914411,3,1
Isner J.,Kamke T.,"['p1', 'p1']","['N', 'N']",[],"['2011-07-09', '2011-08-03']","['2011-07-09', '2011-08-03']",nan,1.0,1.4575175719538476,0.5424824280461524,2,0
Golubev A.,Isner J.,"['p2', 'p2']","['N', 'N']",[],"['2009-08-04', '2010-05-24']","['2009-08-04', '2010-05-24']",nan,1.0,0.4096553883218508,1.5903446116781494,0,2
Bellucci T.,Isner J.,"['p1', 'p2', 'p2']","['N', 'N', 'N']",[],"['2010-04-28', '2015-05-06', '2017-03-25']","['2010-04-28', '2015-05-06', '2017-03-25']",0.0,1.0,0.9588738472549972,2.0411261527450026,1,2
Dodig I.,Isner J.,"['p2', 'p1', 'p2']","['N', 'U', 'N']",['UW'],"['2013-03-23', '2014-08-05', '2015-02-12']","['2013-03-23', '2014-08-05', '2015-02-12']",2.0,1.0,1.118636874503574,1.881363125496426,1,2
Isner J.,Kukushkin M.,"['p1', 'p1', 'p1', 'p2']","['N', 'N', 'N', 'U']",['UL'],"['2014-05-28', '2014-08-21', '2017-03-11', '2019-07-04']","['2014-05-28', '2014-08-21', '2017-03-11', '2019-07-04']",inf,1.0,3.2074869992226773,0.7925130007773225,3,1
Isner J.,Ouanna J.,"['p1', 'p1']","['N', 'N']",[],"['2009-07-20', '2010-05-06']","['2009-07-20', '2010-05-06']",nan,1.0,1.253491242596502,0.746508757403498,2,0
