player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Larsson J.,Razzano V.,['p1'],['N'],[],['25/08/2014'],['25/08/2014'],nan,1.0,0.3773665214554683,0.6226334785445318,1,0
Bouchard E.,Razzano V.,['p1'],['N'],[],['15/01/2014'],['15/01/2014'],nan,1.0,0.6052651196775041,0.394734880322496,1,0
Razzano V.,Van Uytvanck A.,['p1'],['U'],['UW'],['13/01/2014'],['13/01/2014'],nan,1.0,0.7233758595547297,0.2766241404452703,1,0
Kasatkina D.,Razzano V.,['p1'],['N'],[],['26/05/2016'],['26/05/2016'],nan,1.0,0.73619921477271,0.26380078522728995,1,0
Cepede Royg V.,Razzano V.,['p2'],['U'],['UL'],['25/05/2015'],['25/05/2015'],nan,1.0,0.306760045995751,0.693239954004249,0,1
Razzano V.,Soylu I.,['p1'],['N'],[],['24/05/2016'],['24/05/2016'],nan,1.0,0.8661404802341791,0.13385951976582083,1,0
Perry S.,Sanchez O.,"['p1', 'p2']","['N', 'N']",[],"['29/05/2007', '25/05/2010']","['29/05/2007', '25/05/2010']",0.0,1.0,0.9017912841275769,1.098208715872423,1,1
Krajicek M.,Perry S.,['p1'],['N'],[],['30/05/2007'],['30/05/2007'],nan,1.0,0.5583411557804965,0.4416588442195035,1,0
Bondarenko K.,Perry S.,['p1'],['N'],[],['03/09/2009'],['03/09/2009'],nan,1.0,0.8311865190046185,0.16881348099538154,1,0
Niculescu M.,Perry S.,['p2'],['U'],['UL'],['01/09/2009'],['01/09/2009'],nan,1.0,0.4460749658335373,0.5539250341664628,0,1
Perry S.,Yakimova A.,['p1'],['N'],[],['21/06/2010'],['21/06/2010'],nan,1.0,0.33772477695867004,0.6622752230413299,1,0
Medina Garrigues A.,Peng S.,['p2'],['N'],[],['25/06/2013'],['25/06/2013'],nan,1.0,0.25024945703318413,0.7497505429668159,0,1
Li N.,Medina Garrigues A.,['p1'],['N'],[],['27/05/2013'],['27/05/2013'],nan,1.0,0.9272101677966634,0.07278983220333665,1,0
Lepchenko V.,Medina Garrigues A.,['p2'],['N'],[],['30/05/2007'],['30/05/2007'],nan,1.0,0.2953644775862432,0.7046355224137568,0,1
Birnerova E.,Medina Garrigues A.,['p2'],['N'],[],['16/01/2012'],['16/01/2012'],nan,1.0,0.28213481950519675,0.7178651804948033,0,1
Likhovtseva E.,Medina Garrigues A.,['p2'],['N'],[],['31/05/2007'],['31/05/2007'],nan,1.0,0.219928704760462,0.780071295239538,0,1
Bartoli M.,Medina Garrigues A.,['p1'],['N'],[],['14/01/2013'],['14/01/2013'],nan,1.0,0.7719113389712835,0.22808866102871647,1,0
Medina Garrigues A.,Pennetta F.,"['p1', 'p2']","['U', 'N']",['UW'],"['24/01/2009', '22/06/2010']","['24/01/2009', '22/06/2010']",0.0,1.0,0.5774342550193423,1.4225657449806577,1,1
Dominguez Lino L.,Medina Garrigues A.,['p2'],['N'],[],['30/08/2007'],['30/08/2007'],nan,1.0,0.15773483947804418,0.8422651605219558,0,1
