player1,player2,results_set,upset_results_set,num_runs_s1,num_non_upset,num_upsets,num_matches,ww_z_s1,p_val_1_s1,p_val_2_s1,num_runs_s2,num_uw,num_ul,ww_z_s2,p_val_1_s2,p_val_2_s2,p_val_1_s1_adj,p_val_2_s1_adj,p_val_1_s2_adj,p_val_2_s2_adj
Monfils G.,Vanek J.,"[('2007-07-12', 'N'), ('2007-07-18', 'U')]","[('2007-07-18', 'UL')]",2,1,1,2,,,,,,,,,,
Andreev I.,Vanek J.,"[('2008-02-21', 'N'), ('2008-06-23', 'N')]",[],1,,,,,,,,,,,,,
Melzer J.,Vanek J.,"[('2006-04-26', 'U'), ('2008-01-15', 'N'), ('2008-08-28', 'N')]","[('2006-04-26', 'UL')]",2,2,1,3,0.7071067811865469,0.2397500610934769,0.4795001221869538,,,,,,,
Mathieu P.H.,Vanek J.,"[('2006-06-20', 'U')]","[('2006-06-20', 'UL')]",1,,,,,,,,,,,,,
Portas A.,Vanek J.,"[('2005-07-25', 'U')]","[('2005-07-25', 'UW')]",1,,,,,,,,,,,,,
Montanes A.,Vanek J.,"[('2006-02-20', 'U')]","[('2006-02-20', 'UL')]",1,,,,,,,,,,,,,
Karlovic I.,Vanek J.,"[('2007-01-30', 'N')]",[],1,,,,,,,,,,,,,
Djokovic N.,Vanek J.,"[('2006-07-29', 'N')]",[],1,,,,,,,,,,,,,
Pavel A.,Vanek J.,"[('2005-10-24', 'N')]",[],1,,,,,,,,,,,,,
Vanek J.,Volandri F.,"[('2006-02-22', 'U')]","[('2006-02-22', 'UW')]",1,,,,,,,,,,,,,
Hrbaty D.,Vanek J.,"[('2007-01-15', 'N')]",[],1,,,,,,,,,,,,,
Acasuso J.,Vanek J.,"[('2005-08-01', 'N'), ('2007-03-01', 'N')]",[],1,,,,,,,,,,,,,
Kiefer N.,Vanek J.,"[('2005-08-30', 'N')]",[],1,,,,,,,,,,,,,
Haas T.,Vanek J.,"[('2006-06-27', 'N')]",[],1,,,,,,,,,,,,,
Gonzalez F.,Vanek J.,"[('2006-08-30', 'N'), ('2007-10-10', 'N'), ('2009-05-25', 'N')]",[],1,,,,,,,,,,,,,
Davydenko N.,Vanek J.,"[('2006-10-10', 'N'), ('2008-06-11', 'N')]",[],1,,,,,,,,,,,,,
Fish M.,Vanek J.,"[('2006-10-24', 'N')]",[],1,,,,,,,,,,,,,
Stepanek R.,Vanek J.,"[('2005-10-06', 'N'), ('2008-05-29', 'N')]",[],1,,,,,,,,,,,,,
Ljubicic I.,Vanek J.,"[('2006-01-05', 'N')]",[],1,,,,,,,,,,,,,
Coria G.,Vanek J.,"[('2006-02-14', 'N')]",[],1,,,,,,,,,,,,,
Karanusic R.,Vanek J.,"[('2007-10-08', 'U')]","[('2007-10-08', 'UL')]",1,,,,,,,,,,,,,
Lu Y.H.,Vanek J.,"[('2007-09-25', 'N')]",[],1,,,,,,,,,,,,,
Amritraj P.,Vanek J.,"[('2005-09-28', 'N')]",[],1,,,,,,,,,,,,,
Gremelmayr D.,Vanek J.,"[('2008-04-18', 'U')]","[('2008-04-18', 'UW')]",1,,,,,,,,,,,,,
Berrer M.,Vanek J.,"[('2008-04-17', 'N')]",[],1,,,,,,,,,,,,,
Fognini F.,Vanek J.,"[('2008-02-11', 'N')]",[],1,,,,,,,,,,,,,
Vanek J.,Vassallo-Arguello M.,"[('2007-02-27', 'U')]","[('2007-02-27', 'UW')]",1,,,,,,,,,,,,,
Przysiezny M.,Vanek J.,"[('2006-08-03', 'U')]","[('2006-08-03', 'UW')]",1,,,,,,,,,,,,,
Chardy J.,Vanek J.,"[('2009-02-03', 'N')]",[],1,,,,,,,,,,,,,
Cipolla F.,Vanek J.,"[('2008-07-08', 'U')]","[('2008-07-08', 'UW')]",1,,,,,,,,,,,,,
Troicki V.,Vanek J.,"[('2008-07-15', 'N')]",[],1,,,,,,,,,,,,,
Huta Galung J.,Vanek J.,"[('2008-05-28', 'N')]",[],1,,,,,,,,,,,,,
Canas G.,Vanek J.,"[('2007-04-25', 'N')]",[],1,,,,,,,,,,,,,
Petzschner P.,Vanek J.,"[('2008-04-15', 'N')]",[],1,,,,,,,,,,,,,
Bohli S.,Vanek J.,"[('2008-08-25', 'U')]","[('2008-08-25', 'UL')]",1,,,,,,,,,,,,,
Dancevic F.,Vik R.,"[('2005-07-05', 'U')]","[('2005-07-05', 'UL')]",1,,,,,,,,,,,,,
Dancevic F.,Mello R.,"[('2011-06-21', 'U')]","[('2011-06-21', 'UL')]",1,,,,,,,,,,,,,
Dancevic F.,Lopez F.,"[('2011-02-02', 'U')]","[('2011-02-02', 'UW')]",1,,,,,,,,,,,,,
Dancevic F.,Mayer F.,"[('2007-01-03', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Kim K.,"[('2007-07-09', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Wawrinka S.,"[('2010-08-11', 'N')]",[],1,,,,,,,,,,,,,
Dancevic F.,Koubek S.,"[('2007-06-26', 'N')]",[],1,,,,,,,,,,,,,
Almagro N.,Dancevic F.,"[('2008-08-27', 'N')]",[],1,,,,,,,,,,,,,
