player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Baghdatis M.,Raonic M.,"['p2', 'p2', 'p1', 'p2']","['U', 'N', 'U', 'N']","['UL', 'UW']","['2011-10-18', '2012-08-15', '2012-10-10', '2017-08-03']","['2011-10-18', '2012-08-15', '2012-10-10', '2017-08-03']",1.5,1.0,1.361532144046667,2.638467855953333,1,3
Baghdatis M.,Paire B.,"['p2', 'p1']","['N', 'N']",[],"['2015-10-08', '2018-07-31']","['2015-10-08', '2018-07-31']",0.0,1.0,0.9880784638762259,1.011921536123774,1,1
Baghdatis M.,Bautista R.,['p1'],['U'],['UW'],['2016-02-25'],['2016-02-25'],nan,1.0,0.26708074534161497,0.7329192546583851,1,0
Baghdatis M.,Kuznetsov An.,['p2'],['U'],['UL'],['2011-04-06'],['2011-04-06'],nan,1.0,0.6439024390243903,0.35609756097560974,0,1
Baghdatis M.,Sousa J.,['p2'],['U'],['UL'],['2017-01-13'],['2017-01-13'],nan,1.0,0.5471204188481674,0.4528795811518324,0,1
Baghdatis M.,Goffin D.,"['p1', 'p1', 'p1', 'p2']","['N', 'N', 'U', 'N']",['UW'],"['2012-10-16', '2015-02-24', '2016-02-09', '2016-10-25']","['2012-10-16', '2015-02-24', '2016-02-09', '2016-10-25']",0.16666666666666666,0.48571428571428565,1.9581577228221818,2.0418422771778184,3,1
Baghdatis M.,Pospisil V.,"['p1', 'p2', 'p1', 'p1', 'p1']","['N', 'N', 'N', 'N', 'N']",[],"['2015-08-01', '2015-10-01', '2016-02-24', '2016-08-16', '2017-09-26']","['2015-08-01', '2015-10-01', '2016-02-24', '2016-08-16', '2017-09-26']",0.75,1.0,3.0015668970906497,1.9984331029093503,4,1
Baghdatis M.,Sock J.,['p2'],['N'],[],['2016-04-09'],['2016-04-09'],nan,1.0,0.3669950738916256,0.6330049261083743,0,1
Baghdatis M.,Johnson S.,['p2'],['U'],['UL'],['2014-01-07'],['2014-01-07'],nan,1.0,0.6674528301886793,0.33254716981132076,0,1
Baghdatis M.,Williams R.,['p2'],['U'],['UL'],['2014-02-21'],['2014-02-21'],nan,1.0,0.5639686684073107,0.4360313315926892,0,1
Baghdatis M.,Pella G.,['p1'],['U'],['UW'],['2017-09-30'],['2017-09-30'],nan,1.0,0.43782383419689114,0.5621761658031088,1,0
Baghdatis M.,Schwartzman D.,"['p1', 'p1']","['U', 'U']","['UW', 'UW']","['2016-04-05', '2018-03-12']","['2016-04-05', '2018-03-12']",0.0,0.3333333333333333,0.7543610110526154,1.245638988947385,2,0
Baghdatis M.,Pouille L.,['p1'],['U'],['UW'],['2019-02-07'],['2019-02-07'],nan,1.0,0.34844868735083534,0.6515513126491647,1,0
Baghdatis M.,Klahn B.,['p1'],['N'],[],['2014-06-10'],['2014-06-10'],nan,1.0,0.827534039334342,0.17246596066565809,1,0
Baghdatis M.,Struff J.L.,['p2'],['U'],['UL'],['2016-06-07'],['2016-06-07'],nan,1.0,0.7514792899408285,0.24852071005917162,0,1
Baghdatis M.,Cecchinato M.,['p2'],['U'],['UL'],['2016-04-19'],['2016-04-19'],nan,1.0,0.7182795698924732,0.28172043010752695,0,1
Baghdatis M.,Edmund K.,['p2'],['N'],[],['2017-07-25'],['2017-07-25'],nan,1.0,0.3694581280788178,0.6305418719211823,0,1
Baghdatis M.,Gonzalez A.,['p2'],['N'],[],['2014-04-08'],['2014-04-08'],nan,1.0,0.4813829787234043,0.5186170212765957,0,1
Baghdatis M.,Vesely J.,"['p1', 'p1', 'p1']","['N', 'N', 'N']",[],"['2014-02-18', '2017-01-12', '2017-08-21']","['2014-02-18', '2017-01-12', '2017-08-21']",0.0,0.4000000000000001,1.6698783883452233,1.330121611654777,3,0
Baghdatis M.,Chung H.,['p2'],['N'],[],['2018-08-01'],['2018-08-01'],nan,1.0,0.37777777777777777,0.6222222222222222,0,1
Baghdatis M.,Daniel T.,['p1'],['N'],[],['2016-02-03'],['2016-02-03'],nan,1.0,0.6658823529411765,0.3341176470588235,1,0
Baghdatis M.,Kyrgios N.,"['p2', 'p2']","['N', 'N']",[],"['2016-03-26', '2017-05-08']","['2016-03-26', '2017-05-08']",nan,1.0,0.5080136445363043,1.4919863554636958,0,2
Baghdatis M.,Basilashvili N.,['p1'],['U'],['UW'],['2017-06-26'],['2017-06-26'],nan,1.0,0.4412532637075718,0.5587467362924282,1,0
Albot R.,Baghdatis M.,['p1'],['U'],['UW'],['2019-02-08'],['2019-02-08'],nan,1.0,0.48167539267015713,0.518324607329843,1,0
Baghdatis M.,Krajicek A.,['p1'],['N'],[],['2015-07-28'],['2015-07-28'],nan,1.0,0.7381443298969071,0.2618556701030928,1,0
Baghdatis M.,Zverev A.,"['p1', 'p2']","['N', 'U']",['UL'],"['2015-06-24', '2016-06-17']","['2015-06-24', '2016-06-17']",inf,1.0,1.1737781128282445,0.8262218871717553,1,1
Baghdatis M.,Donaldson J.,['p2'],['N'],[],['2018-03-21'],['2018-03-21'],nan,1.0,0.4750656167979003,0.5249343832020998,0,1
Baghdatis M.,Dzumhur D.,['p2'],['N'],[],['2017-09-20'],['2017-09-20'],nan,1.0,0.4645669291338583,0.5354330708661418,0,1
Baghdatis M.,Gombos N.,['p1'],['N'],[],['2017-10-17'],['2017-10-17'],nan,1.0,0.5710594315245477,0.42894056847545214,1,0
Baghdatis M.,Safwat M.,['p1'],['N'],[],['2019-02-26'],['2019-02-26'],nan,1.0,0.8325991189427313,0.1674008810572687,1,0
Baghdatis M.,Ramanathan R.,['p1'],['N'],[],['2017-06-29'],['2017-06-29'],nan,1.0,0.6877828054298643,0.31221719457013575,1,0
Baghdatis M.,Nishioka Y.,['p1'],['N'],[],['2018-03-09'],['2018-03-09'],nan,1.0,0.7475149105367793,0.2524850894632207,1,0
Baghdatis M.,Bolt A.,['p1'],['N'],[],['2018-07-25'],['2018-07-25'],nan,1.0,0.5816326530612244,0.4183673469387755,1,0
Baghdatis M.,Tiafoe F.,['p1'],['U'],['UW'],['2018-07-26'],['2018-07-26'],nan,1.0,0.3682926829268293,0.6317073170731708,1,0
Baghdatis M.,Herbert P.H,['p2'],['U'],['UL'],['2015-08-25'],['2015-08-25'],nan,1.0,0.6040609137055837,0.39593908629441626,0,1
Baghdatis M.,Kovalik J.,['p2'],['U'],['UL'],['2018-02-09'],['2018-02-09'],nan,1.0,0.683371298405467,0.316628701594533,0,1
Baghdatis M.,Carreno Busta P.,['p1'],['U'],['UW'],['2016-09-28'],['2016-09-28'],nan,1.0,0.4854111405835544,0.5145888594164455,1,0
Baghdatis M.,Bautista Agut R.,"['p2', 'p2']","['N', 'N']",[],"['2016-08-25', '2017-08-23']","['2016-08-25', '2017-08-23']",nan,1.0,0.6676632253392871,1.3323367746607129,0,2
Baghdatis M.,Caruso S.,['p1'],['N'],[],['2018-02-07'],['2018-02-07'],nan,1.0,0.7361963190184049,0.2638036809815951,1,0
Pavel A.,Vik R.,['p2'],['U'],['UL'],['2006-01-03'],['2006-01-03'],nan,1.0,0.5451206715634838,0.45487932843651624,0,1
Mayer F.,Pavel A.,"['p2', 'p1']","['U', 'N']",['UL'],"['2005-09-16', '2007-01-31']","['2005-09-16', '2007-01-31']",inf,1.0,1.1452726562508744,0.8547273437491256,1,1
Pavel A.,Sanguinetti D.,['p1'],['N'],[],['2005-10-04'],['2005-10-04'],nan,1.0,0.5130026165429594,0.48699738345704074,1,0
Pavel A.,Simon G.,"['p2', 'p2']","['U', 'N']",['UL'],"['2007-06-18', '2007-10-23']","['2007-06-18', '2007-10-23']",nan,1.0,0.9954462587846103,1.0045537412153895,0,2
