player1,player2,match_results,results_set,upset_results,results_set_with_dates,upset_results_set_with_dates,or,p_value_fisher,expected_wins_p1,expected_wins_p2,actual_wins_p1,actual_wins_p2
Johnson S.,Stakhovsky S.,['p1'],['N'],[],['2015-05-27'],['2015-05-27'],nan,1.0,0.5907928388746803,0.4092071611253197,1,0
Elias G.,Stakhovsky S.,['p2'],['N'],[],['2016-08-29'],['2016-08-29'],nan,1.0,0.41902313624678666,0.5809768637532133,0,1
Lajovic D.,Stakhovsky S.,['p2'],['N'],[],['2015-01-20'],['2015-01-20'],nan,1.0,0.3790523690773067,0.6209476309226933,0,1
Coric B.,Stakhovsky S.,['p1'],['U'],['UW'],['2015-06-30'],['2015-06-30'],nan,1.0,0.25000000000000006,0.75,1,0
Millman J.,Stakhovsky S.,['p2'],['U'],['UL'],['2015-08-31'],['2015-08-31'],nan,1.0,0.5824742268041238,0.41752577319587636,0,1
Nishioka Y.,Stakhovsky S.,['p2'],['N'],[],['2016-06-27'],['2016-06-27'],nan,1.0,0.23440453686200377,0.7655954631379962,0,1
Herbert P.H.,Polansky P.,['p1'],['N'],[],['2018-05-30'],['2018-05-30'],nan,1.0,0.7490118577075099,0.25098814229249017,1,0
Polansky P.,Zverev A.,['p2'],['N'],[],['2018-08-28'],['2018-08-28'],nan,1.0,0.09680365296803653,0.9031963470319635,0,1
Khachanov K.,Polansky P.,['p1'],['N'],[],['2018-01-16'],['2018-01-16'],nan,1.0,0.7850799289520427,0.21492007104795738,1,0
Novak D.,Polansky P.,['p1'],['N'],[],['2018-07-02'],['2018-07-02'],nan,1.0,0.6169154228855721,0.38308457711442784,1,0
Brands D.,Kendrick R.,['p2'],['U'],['UL'],['2009-05-24'],['2009-05-24'],nan,1.0,0.6285813941900443,0.3714186058099556,0,1
Brands D.,Gimeno-Traver D.,['p1'],['N'],[],['2013-06-25'],['2013-06-25'],nan,1.0,0.7765567765567766,0.2234432234432234,1,0
Brands D.,Tomic B.,['p2'],['N'],[],['2013-01-17'],['2013-01-17'],nan,1.0,0.15555555555555559,0.8444444444444444,0,1
Brands D.,Klizan M.,['p1'],['N'],[],['2013-01-15'],['2013-01-15'],nan,1.0,0.5317460317460317,0.46825396825396826,1,0
Brands D.,Haider-Maurer A.,['p2'],['N'],[],['2014-05-27'],['2014-05-27'],nan,1.0,0.16165951359084407,0.838340486409156,0,1
Brands D.,Kukushkin M.,['p2'],['N'],[],['2011-05-23'],['2011-05-23'],nan,1.0,0.3090909090909091,0.6909090909090908,0,1
Brands D.,Ungur A.,['p1'],['N'],[],['2012-08-27'],['2012-08-27'],nan,1.0,0.7096069868995633,0.2903930131004367,1,0
Brands D.,Estrella Burgos V.,['p1'],['N'],[],['2016-01-18'],['2016-01-18'],nan,1.0,0.6870748299319728,0.31292517006802717,1,0
Brands D.,Zverev A.,['p2'],['N'],[],['2016-08-30'],['2016-08-30'],nan,1.0,0.18325434439178515,0.8167456556082149,0,1
Koellerer D.,Machado R.,['p1'],['N'],[],['2009-09-02'],['2009-09-02'],nan,1.0,0.5150489089541008,0.48495109104589906,1,0
Koellerer D.,Veic A.,['p2'],['U'],['UL'],['2010-01-19'],['2010-01-19'],nan,1.0,0.5890052356020942,0.4109947643979057,0,1
Baker B.,Machado R.,['p1'],['N'],[],['2012-06-26'],['2012-06-26'],nan,1.0,0.8791946308724833,0.1208053691275168,1,0
Giraldo S.,Machado R.,['p1'],['N'],[],['2011-01-18'],['2011-01-18'],nan,1.0,0.8424753867791842,0.15752461322081576,1,0
Haase R.,Machado R.,['p1'],['N'],[],['2011-08-31'],['2011-08-31'],nan,1.0,0.8804469273743017,0.11955307262569832,1,0
Giraldo S.,Istomin D.,['p2'],['U'],['UL'],['2009-05-25'],['2009-05-25'],nan,1.0,0.6963109948588437,0.3036890051411563,0,1
Berlocq C.,Giraldo S.,['p1'],['U'],['UW'],['2013-08-27'],['2013-08-27'],nan,1.0,0.4761904761904762,0.5238095238095238,1,0
Giraldo S.,Kubot L.,['p2'],['N'],[],['2010-01-21'],['2010-01-21'],nan,1.0,0.4225721784776903,0.5774278215223098,0,1
De Bakker T.,Giraldo S.,['p1'],['U'],['UW'],['2010-06-23'],['2010-06-23'],nan,1.0,0.4919786096256684,0.5080213903743315,1,0
Giraldo S.,Nishikori K.,['p2'],['U'],['UL'],['2010-05-24'],['2010-05-24'],nan,1.0,0.6578313253012049,0.34216867469879514,0,1
Gimeno-Traver D.,Giraldo S.,['p2'],['N'],[],['2014-06-24'],['2014-06-24'],nan,1.0,0.2220183486238532,0.7779816513761468,0,1
Giraldo S.,Zeballos H.,['p1'],['N'],[],['2013-06-25'],['2013-06-25'],nan,1.0,0.6957494407158836,0.3042505592841164,1,0
Giraldo S.,Harrison R.,['p2'],['N'],[],['2013-01-14'],['2013-01-14'],nan,1.0,0.4694960212201591,0.5305039787798408,0,1
Giraldo S.,Zemlja G.,['p2'],['U'],['UL'],['2013-05-27'],['2013-05-27'],nan,1.0,0.6635071090047394,0.33649289099526064,0,1
Dolgopolov O.,Giraldo S.,['p1'],['N'],[],['2013-06-28'],['2013-06-28'],nan,1.0,0.6921348314606741,0.30786516853932583,1,0
Giraldo S.,Millot V.,['p1'],['U'],['UW'],['2017-08-30'],['2017-08-30'],nan,1.0,0.3771712158808933,0.6228287841191067,1,0
Giraldo S.,Raonic M.,"['p2', 'p2']","['N', 'N']",[],"['2012-06-27', '2012-08-28']","['2012-06-27', '2012-08-28']",nan,1.0,0.24161360738781887,1.7583863926121812,0,2
Giraldo S.,Souza J.,['p1'],['N'],[],['2015-06-29'],['2015-06-29'],nan,1.0,0.8901554404145077,0.10984455958549223,1,0
Giraldo S.,Kudla D.,['p2'],['N'],[],['2015-07-03'],['2015-07-03'],nan,1.0,0.40816326530612246,0.5918367346938775,0,1
Giraldo S.,Goffin D.,['p2'],['N'],[],['2015-05-28'],['2015-05-28'],nan,1.0,0.24803149606299213,0.7519685039370079,0,1
Giraldo S.,Sousa J.,['p2'],['N'],[],['2016-01-21'],['2016-01-21'],nan,1.0,0.327906976744186,0.6720930232558139,0,1
Giraldo S.,Johnson S.,['p2'],['N'],[],['2015-01-22'],['2015-01-22'],nan,1.0,0.3627450980392157,0.6372549019607844,0,1
Edmund K.,Giraldo S.,['p1'],['N'],[],['2017-01-17'],['2017-01-17'],nan,1.0,0.7301255230125523,0.2698744769874477,1,0
Giraldo S.,Krajicek A.,['p2'],['U'],['UL'],['2015-09-01'],['2015-09-01'],nan,1.0,0.7076923076923077,0.2923076923076923,0,1
Bautista Agut R.,Giraldo S.,['p1'],['N'],[],['2018-05-30'],['2018-05-30'],nan,1.0,0.8036605657237937,0.1963394342762063,1,0
Bublik A.,Giraldo S.,['p1'],['N'],[],['2019-08-27'],['2019-08-27'],nan,1.0,0.5805626598465473,0.4194373401534527,1,0
Baker J.,Beck A.,['p2'],['N'],[],['2010-06-22'],['2010-06-22'],nan,1.0,0.1956521739130435,0.8043478260869565,0,1
Beck A.,Prodon E.,['p1'],['N'],[],['2012-01-16'],['2012-01-16'],nan,1.0,0.7767527675276753,0.22324723247232472,1,0
Beck A.,Lorenzi P.,['p1'],['N'],[],['2010-05-24'],['2010-05-24'],nan,1.0,0.5994897959183673,0.4005102040816326,1,0
Berlocq C.,Roger-Vasselin E.,['p2'],['N'],[],['2014-01-13'],['2014-01-13'],nan,1.0,0.3217592592592592,0.6782407407407407,0,1
Fognini F.,Roger-Vasselin E.,['p1'],['N'],[],['2012-08-28'],['2012-08-28'],nan,1.0,0.5824742268041238,0.41752577319587636,1,0
Roger-Vasselin E.,Rosol L.,['p2'],['U'],['UL'],['2011-05-24'],['2011-05-24'],nan,1.0,0.5292553191489361,0.47074468085106375,0,1
